sl.no,State_Name,District_Name,Taluk,Village,Lattitude,Longitude
1,ARUNACHAL PRADESH,Anjaw,Anjaw,Anjaw,27.7576642,96.6237322
315,ARUNACHAL PRADESH,Changlang,Changlang,Leelong (Hydel Tinali ),27.1277575,95.7316276
316,ARUNACHAL PRADESH,Changlang,Changlang,Industrial Estate,27.1303482,95.7550159
317,ARUNACHAL PRADESH,Changlang,Bordumsa,Bijoypur-I Bl.I -III,27.1305856,95.7342373
644,ARUNACHAL PRADESH,Changlang,Khimiyong,New Longkey (New),27.13357,95.7626949
650,ARUNACHAL PRADESH,Changlang,Changlang,Ranglum,27.1390985,95.7521349
651,ARUNACHAL PRADESH,Changlang,Changlang,Old Changlang,27.1460421,95.7481671
664,ARUNACHAL PRADESH,Changlang,Changlang,Jungmaisung - II,27.1922771,95.8466824
666,ARUNACHAL PRADESH,Changlang,Changlang,Khuchep,27.1953594,95.8501254
667,ARUNACHAL PRADESH,Changlang,Manmao,Jonglimpathar,27.2039721,95.8786685
668,ARUNACHAL PRADESH,Changlang,Manmao,Walongtoi,27.2357496,95.9137216
669,ARUNACHAL PRADESH,Changlang,Manmao,Manmao,27.2517354,95.9274592
672,ARUNACHAL PRADESH,Changlang,Jairampur,Jairampur,27.2568757,95.9359378
673,ARUNACHAL PRADESH,Changlang,Khimiyong,Lungsang,27.2581489,95.9382284
675,ARUNACHAL PRADESH,Changlang,Namtok,Namdang(Namdang-I),27.272919,95.7023616
676,ARUNACHAL PRADESH,Changlang,Changlang,Kuchep - II ,27.2882354,95.9796149
678,ARUNACHAL PRADESH,Changlang,Manmao,New Kamlao,27.2925078,95.9849645
679,ARUNACHAL PRADESH,Changlang,Manmao,Old Kamlao,27.2933044,95.9842734
682,ARUNACHAL PRADESH,Changlang,Nampong,Nampong,27.2938168,96.1221231
684,ARUNACHAL PRADESH,Changlang,Jairampur,Chamro,27.30814,96.046329
685,ARUNACHAL PRADESH,Changlang,Jairampur,Longvi,27.3181098,96.0537261
688,ARUNACHAL PRADESH,Changlang,Miao,Khachang,27.3549735,96.0226965
689,ARUNACHAL PRADESH,Changlang,Changlang,Changlang,27.7576642,96.6237322
693,ARUNACHAL PRADESH,Dibang Valley,Etalin,Aranli,28.411232,95.941864
694,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Aliney,28.414621,95.865364
695,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Kano,28.42861,95.880089
696,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Akaya,28.440899,95.862907
697,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),New Anaya,28.455206,95.849396
698,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Awali,28.456212,95.876354
699,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),173 K.M. Point,28.462597,95.846252
700,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),132 K.M. Point,28.470301,95.844063
701,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Ranli,28.48072,95.846748
702,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Esuli,28.48761,95.826156
703,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Embolin,28.515452,95.837359
704,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Karo,28.525511,95.851341
705,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Endolin,28.526002,95.838744
706,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Asili,28.526808,95.864365
707,ARUNACHAL PRADESH,Dibang Valley,Kronli (Arzoo circle),Ichigo,28.533705,95.873001
708,ARUNACHAL PRADESH,Dibang Valley,Etalin,Angolin,28.56806,95.8178329
709,ARUNACHAL PRADESH,Dibang Valley,Etalin,Aprunli,28.589621,95.817001
710,ARUNACHAL PRADESH,Dibang Valley,Etalin,Eranli,28.602159,95.785461
711,ARUNACHAL PRADESH,Dibang Valley,Etalin,Etalin Bridge Point,28.60612,95.859192
712,ARUNACHAL PRADESH,Dibang Valley,Etalin,Etalin,28.6078549,95.8719883
714,ARUNACHAL PRADESH,Dibang Valley,Etalin,Amuchi,28.619595,95.898903
715,ARUNACHAL PRADESH,Dibang Valley,Etalin,Aruli,28.623445,95.888252
716,ARUNACHAL PRADESH,Dibang Valley,Etalin,New Echanli,28.626747,95.872894
717,ARUNACHAL PRADESH,Dibang Valley,Etalin,Apunli,28.627367,95.837853
718,ARUNACHAL PRADESH,Dibang Valley,Etalin,New Arope(Hipui),28.6356038,95.8604439
719,ARUNACHAL PRADESH,Dibang Valley,Etalin,New Etalin,28.636355,95.866894
720,ARUNACHAL PRADESH,Dibang Valley,Anini ,Punli,28.638725,95.934494
722,ARUNACHAL PRADESH,Dibang Valley,Etalin,Aruko,28.64052,95.972916
723,ARUNACHAL PRADESH,Dibang Valley,Etalin,Anose,28.640793,95.988174
724,ARUNACHAL PRADESH,Dibang Valley,Etalin,Chipuli,28.64468,95.967819
725,ARUNACHAL PRADESH,Dibang Valley,Etalin,New Arope,28.6447088,95.9185182
726,ARUNACHAL PRADESH,Dibang Valley,Etalin,Aunli,28.649769,95.96421
727,ARUNACHAL PRADESH,Dibang Valley,Etalin,Athunli,28.664082,95.9872819
728,ARUNACHAL PRADESH,Dibang Valley,Anini ,Granli,28.673786,95.813599
729,ARUNACHAL PRADESH,Dibang Valley,Etalin,Maliney,28.6756598,96.1533613
730,ARUNACHAL PRADESH,Dibang Valley,Etalin,Sunil,28.676111,96.042702
731,ARUNACHAL PRADESH,Dibang Valley,Anini ,Emiya,28.678788,95.83136
732,ARUNACHAL PRADESH,Dibang Valley,Etalin,Edilin,28.680962,95.970795
733,ARUNACHAL PRADESH,Dibang Valley,Etalin,Mawali,28.6813,96.024489
