No,STATE_CODE,STATE_NAME,DISTRICT_CODE,DISTRICT_NAME,TAHSIL_CODE,TAHSIL_NAME,VILLAGE_CODE,VILLAGE_NAME,Buffaloes,Cattle,Goats,Pigs,Sheep,Cattle + Buffalo,Sheep + Goat,All
44,29,KARNATAKA,555,Belgaum,5437,Hukeri,597617,Hidkal,3,1,14,0,0,4,14,18
98,29,KARNATAKA,555,Belgaum,5439,Khanapur,597828,Budase,3,3,0,0,0,6,0,6
227,29,KARNATAKA,555,Belgaum,5433,Chikodi,597143,Nippani (Rural),12,6,71,0,0,18,71,89
300,29,KARNATAKA,555,Belgaum,5439,Khanapur,597873,Khanapur (Rural),6,8,2,0,0,14,2,16
309,29,KARNATAKA,555,Belgaum,5433,Chikodi,597137,Shirguppi,219,8,25,0,0,227,25,252
339,29,KARNATAKA,555,Belgaum,5439,Khanapur,598009,Bhistenatti,17,9,0,0,0,26,0,26
741,29,KARNATAKA,555,Belgaum,5438,Belgaum,597793,Hindalgi (CT),59,18,24,0,0,77,24,101
1091,29,KARNATAKA,555,Belgaum,5439,Khanapur,598015,Surapur,64,26,29,0,0,90,29,119
1208,29,KARNATAKA,555,Belgaum,5439,Khanapur,597913,Holda,10,29,9,0,0,39,9,48
1211,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598345,Hiretadashi,15,29,17,0,52,44,69,113
1408,29,KARNATAKA,555,Belgaum,5436,Gokak,597439,Konnur (Rural),53,33,260,0,0,86,260,346
1412,29,KARNATAKA,555,Belgaum,5433,Chikodi,597206,Peerawadi,116,33,46,0,0,149,46,195
1505,29,KARNATAKA,555,Belgaum,5437,Hukeri,597623,Nadigudiketra,63,35,36,0,0,98,36,134
1528,29,KARNATAKA,555,Belgaum,5441,Parasgad,598234,Kenchalarkop,6,36,7,0,1,42,8,50
1547,29,KARNATAKA,555,Belgaum,5441,Parasgad,598267,Vatnal,26,36,21,0,97,62,118,180
1594,29,KARNATAKA,555,Belgaum,5439,Khanapur,597837,Malavi,52,37,0,0,0,89,0,89
1596,29,KARNATAKA,555,Belgaum,5439,Khanapur,597816,Amagaon,0,38,0,0,0,38,0,38
1634,29,KARNATAKA,555,Belgaum,5439,Khanapur,598012,Karikatti,44,38,46,0,0,82,46,128
1683,29,KARNATAKA,555,Belgaum,5441,Parasgad,598215,Kagihal,54,39,57,0,15,93,72,165
1688,29,KARNATAKA,555,Belgaum,5433,Chikodi,597194,Kuppanawadi,249,39,0,0,0,288,0,288
1689,29,KARNATAKA,555,Belgaum,5433,Chikodi,597115,Sulagaon,496,39,29,0,0,535,29,564
1726,29,KARNATAKA,555,Belgaum,5442,Ramdurg,598346,Kesaragoppa,36,40,48,0,0,76,48,124
1729,29,KARNATAKA,555,Belgaum,5438,Belgaum,597678,Kurihal (K H),40,40,30,0,30,80,60,140
1800,29,KARNATAKA,555,Belgaum,5439,Khanapur,597914,Kelil,10,42,9,0,0,52,9,61
1849,29,KARNATAKA,555,Belgaum,5439,Khanapur,597945,Watre,19,43,15,0,0,62,15,77
1866,29,KARNATAKA,555,Belgaum,5433,Chikodi,597167,Dilalapurwadi,138,43,22,0,0,181,22,203
