STATE_CODE,STATE_NAME,DISTRICT_CODE,DISTRICT_NAME,BLOCK_CODE,BLOCK_NAME,VILLAGE_NAME,Buffaloes,Cattle,Goats,Pigs,Sheep,Cattle + Buffalo,Sheep + Goat,all
35,West Bengal,1,24 Paraganas North,4,Amdanga,Adhata,0,269,187,2,0,269,187,456
35,West Bengal,1,24 Paraganas North,4,Amdanga,Amdanga,0,193,217,0,0,193,217,410
35,West Bengal,1,24 Paraganas North,4,Amdanga,Anakha,1,77,314,7,0,78,314,392
35,West Bengal,1,24 Paraganas North,4,Amdanga,Arkhali,0,281,195,0,0,281,195,476
35,West Bengal,1,24 Paraganas North,4,Amdanga,Atghara,9,147,99,0,0,156,99,255
35,West Bengal,1,24 Paraganas North,4,Amdanga,Bahirpur,0,22,65,0,0,22,65,87
35,West Bengal,1,24 Paraganas North,4,Amdanga,Baichhigachhi,1,216,208,0,0,217,208,425
35,West Bengal,1,24 Paraganas North,4,Amdanga,Baikunthapur,70,90,88,4,0,160,88,248
35,West Bengal,1,24 Paraganas North,4,Amdanga,Bargachhia,0,323,143,0,0,323,143,466
35,West Bengal,1,24 Paraganas North,4,Amdanga,Belu,0,29,78,37,0,29,78,107
35,West Bengal,1,24 Paraganas North,4,Amdanga,Beraberia,0,778,471,0,0,778,471,1249
35,West Bengal,1,24 Paraganas North,4,Amdanga,Bhaluka,0,240,279,0,0,240,279,519
35,West Bengal,1,24 Paraganas North,4,Amdanga,Bijoypur,0,59,24,0,0,59,24,83
35,West Bengal,1,24 Paraganas North,4,Amdanga,Bodai,1,706,639,10,0,707,639,1346
35,West Bengal,1,24 Paraganas North,4,Amdanga,Chakbelu,0,18,0,0,0,18,0,18
35,West Bengal,1,24 Paraganas North,4,Amdanga,Chandigor,0,860,118,0,0,860,118,978
35,West Bengal,1,24 Paraganas North,4,Amdanga,Chankia,0,38,54,0,0,38,54,92
35,West Bengal,1,24 Paraganas North,4,Amdanga,Chharuhat,0,104,86,0,0,104,86,190
35,West Bengal,1,24 Paraganas North,4,Amdanga,Dadpur,0,296,559,12,0,296,559,855
35,West Bengal,1,24 Paraganas North,4,Amdanga,Dangatanga Tangi,0,284,330,0,0,284,330,614
